latitude_degN,gcr,cap_density_kWdc_m2,derate_factor,cap_density_X_derate_factor
0,0.496,0.05335,1.241,0.06620735
2,0.496,0.05331,1.24,0.0661044
4,0.495,0.05316,1.236,0.06570576
6,0.492,0.05292,1.231,0.06514452
8,0.489,0.05258,1.223,0.06430534
10,0.485,0.05214,1.213,0.06324582
12,0.48,0.05162,1.2,0.061944
14,0.474,0.051,1.186,0.060486
16,0.468,0.05028,1.169,0.05877732
18,0.46,0.04949,1.151,0.05696299
20,0.452,0.0486,1.13,0.054918
22,0.443,0.04763,1.108,0.05277404
24,0.433,0.04659,1.083,0.05045697
26,0.423,0.04546,1.057,0.04805122
28,0.412,0.04427,1.029,0.04555383
30,0.4,0.043,1,0.043
32,0.388,0.04167,0.969,0.04037823
34,0.375,0.04027,0.937,0.03773299
36,0.361,0.03882,0.903,0.03505446
38,0.347,0.03732,0.868,0.03239376
40,0.333,0.03577,0.832,0.02976064
42,0.318,0.03418,0.795,0.0271731
44,0.303,0.03255,0.757,0.02464035
46,0.287,0.03089,0.718,0.02217902
48,0.272,0.0292,0.679,0.0198268
50,0.256,0.0275,0.639,0.0175725
52,0.24,0.02577,0.599,0.01543623
54,0.224,0.02404,0.559,0.01343836
56,0.208,0.02231,0.519,0.01157889
58,0.191,0.02058,0.479,0.00985782
60,0.175,0.01886,0.439,0.00827954
62,0.16,0.01716,0.399,0.00684684
64,0.144,0.01549,0.36,0.0055764
66,0.129,0.01384,0.322,0.00445648
68,0.114,0.01223,0.284,0.00347332
70,0.099,0.01067,0.248,0.00264616
72,0.085,0.00917,0.213,0.00195321
74,0.072,0.00772,0.18,0.0013896
76,0.059,0.00635,0.148,0.0009398
78,0.047,0.00506,0.118,0.00059708
80,0.036,0.00386,0.09,0.0003474
82,0.026,0.00277,0.064,0.00017728
84,0.017,0.0018,0.042,0.0000756
86,0.009,0.00098,0.023,0.00002254
88,0.003,0.00035,0.008,0.0000028
90,0,0,0,0
